app_name, app_fullname, app_id, platform, scraping_timestamp, app_size, version, last_updated, n_ratings, downloads_bin, average_rating, n_ratings_5, n_ratings_4, n_ratings_3, n_ratings_2, n_ratings_1, average_rating_calculated
Invirto, Invirto - Therapie gegen Angs‪t‬, 1482760714, Apple App Store, 2021-03-14 17:56:29, 98.5 MB, 1.11.1, 2021-03-08, 22, N/A, 3.7, 12, 4, 0, 0, 6, 3.7
Rehapp‪y‬, Rehapp‪y‬, 1357107437, Apple App Store, 2021-03-14 17:56:29, 155.7 MB, 3.2.2, 2020-12-16, 2, N/A, 5.0, 2, 0, 0, 0, 0, 5.0
Kalmeda, Kalmeda Tinnitus-Ap‪p‬, 1437379931, Apple App Store, 2021-03-14 17:56:29, 423.9 MB, 1.6.2, 2021-02-18, 30, N/A, 3.6, 18, 0, 2, 1, 9, 3.6
somni‪o‬, somni‪o‬, 1523016446, Apple App Store, 2021-03-14 17:56:29, 13.8 MB, 1.1.5, 2020-08-22, 45, N/A, 4.2, 31, 7, 0, 1, 6, 4.2
zanadi‪o‬, zanadi‪o‬, 1499824614, Apple App Store, 2021-03-14 17:56:29, 51.3 MB, 1.1.2, 2021-03-08, 54, N/A, 3.8, 33, 3, 4, 4, 10, 3.8
M-sense, M-sense Migrän‪e‬, 1511739470, Apple App Store, 2021-03-14 17:56:30, 62.7 MB, 1.8.3, 2021-03-03, 29, N/A, 4.2, 23, 0, 0, 2, 4, 4.2
Vivira:, Vivira: Rücken, Knie und Hüft‪e‬, 1093858117, Apple App Store, 2021-03-14 17:56:30, 148.3 MB, 2.32, 2021-03-03, 241, N/A, 4.5, 195, 14, 12, 10, 12, 4.6
Invirto, Invirto - Die Therapie gegen Angst, m.sympatient.invirto, Google Play Store, 2021-03-14 17:56:35, 54M, 1.11.0, 2021-02-17, 8, 1.000+, 4.5, N/A, N/A, N/A, N/A, N/A, N/A
Vivira:, Vivira: Back, Knee, and Hip, m.vivira.android, Google Play Store, 2021-03-14 17:56:35, 43M, 2.25.0, 2021-03-10, 137, 10.000+, 4.4, N/A, N/A, N/A, N/A, N/A, N/A
M-sense, M-sense Migräne, m.newsenselab.android.m_sense_migraine, Google Play Store, 2021-03-14 17:56:35, 31M, 1.8.5, 2021-03-04, 27, 1.000+, 4.3, N/A, N/A, N/A, N/A, N/A, N/A
zanadio, zanadio, .aidhere.zanadio, Google Play Store, 2021-03-14 17:56:35, 43M, 1.1.2, 2021-03-11, 41, 5.000+, 3.5, N/A, N/A, N/A, N/A, N/A, N/A
somnio, somnio, .mementor.somnio, Google Play Store, 2021-03-14 17:56:35, 1.2M, 1.0.1, 2021-02-02, 48, 1.000+, 3.8, N/A, N/A, N/A, N/A, N/A, N/A
Kalmeda, Kalmeda Tinnitus-App, .mynoise.kalmeda, Google Play Store, 2021-03-14 17:56:35, 95M, 1.6.1, 2021-02-16, 118, 10.000+, 2.5, N/A, N/A, N/A, N/A, N/A, N/A
Rehappy, Rehappy, .rehappy.app.rehappy, Google Play Store, 2021-03-14 17:56:35, 44M, 3.2.2, 2020-12-15, N/A, 100+, 5.0, N/A, N/A, N/A, N/A, N/A, N/A
